,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Amahoro,Ubuzima,11060105,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Amahoro,Uruhimbi,11060106,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabasengerez,Icyeza,11060201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabasengerez,Ikana,11060202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabasengerez,Intwari,11060203,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabasengerez,Kabasengerez,11060204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Hirwa,11060301,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Ikaze,11060302,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Imanzi,11060303,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Ingenzi,11060304,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Ituze,11060305,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Sangwa,11060306,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Kabeza,Umwezi,11060307,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Nyabugogo,Abeza,11060401,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Nyabugogo,Icyerekezo,11060402,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Nyabugogo,Indatwa,11060403,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Nyabugogo,Rwezangoro,11060404,4,GE,,,,,,,,,,,
